Process information:
    PID TTY          TIME CMD
    891 ?        00:00:00 irq/16-processor_thermal_device_pci
    898 ?        00:00:00 card1-crtc0
    899 ?        00:00:00 card1-crtc1
    900 ?        00:00:00 card1-crtc2
    901 ?        00:00:00 card1-crtc3
   1036 ?        00:00:04 systemd-oomd
   1037 ?        00:00:03 systemd-resolve
   1038 ?        00:00:00 systemd-timesyn
   1145 ?        00:13:04 irq/156-rtw89_pci
   1147 ?        00:00:00 avahi-daemon
   1148 ?        00:00:06 dbus-daemon
   1152 ?        00:00:00 gnome-remote-de
   1167 ?        00:00:01 polkitd
   1184 ?        00:00:00 smartd
   1191 ?        00:00:04 snapd
   1197 ?        00:00:00 accounts-daemon
   1199 ?        00:00:00 cron
   1200 ?        00:00:00 switcheroo-cont
   1208 ?        00:00:00 systemd-logind
   1210 ?        00:00:05 thermald
   1212 ?        00:00:00 udisksd
   1287 ?        00:00:00 avahi-daemon
   1290 ?        00:00:12 NetworkManager
   1293 ?        00:00:03 wpa_supplicant
   1362 ?        00:00:00 rsyslogd
   1395 ?        00:00:00 irq/157-AudioDSP
   1414 ?        00:00:00 bluetoothd
   1488 ?        00:00:05 upowerd
   1557 ?        00:00:00 ModemManager
   1883 ?        00:00:00 psimon
   1894 ?        00:00:00 cupsd
   1901 ?        00:00:24 redis-server
   1907 ?        00:00:00 unattended-upgr
   1919 ?        00:00:19 containerd
   1938 ?        00:00:00 gdm3
   1955 ?        00:00:00 apache2
   1957 ?        00:00:00 gdm-session-wor
   1962 ?        00:00:00 apache2
   1963 ?        00:00:00 apache2
   1964 ?        00:00:00 apache2
   1965 ?        00:00:00 apache2
   1966 ?        00:00:00 apache2
   1989 ?        00:00:01 systemd
   1993 ?        00:00:00 (sd-pam)
   2006 ?        00:01:54 pipewire
   2007 ?        00:00:00 pipewire
   2010 ?        00:00:01 wireplumber
   2011 ?        00:03:57 pipewire-pulse
   2012 ?        00:00:00 gnome-keyring-d
   2022 ?        00:00:01 dbus-daemon
   2027 ?        00:00:00 rtkit-daemon
   2036 tty2     00:00:00 gdm-wayland-ses
   2047 tty2     00:00:00 gnome-session-b
   2066 ?        00:00:00 xdg-document-po
   2085 ?        00:00:00 xdg-permission-
   2101 ?        00:00:00 fusermount3
   2128 ?        00:00:00 krfcommd
   2129 ?        00:00:00 gcr-ssh-agent
   2130 ?        00:00:00 gnome-session-c
   2144 ?        00:00:00 gvfsd
   2153 ?        00:00:00 gvfsd-fuse
   2159 ?        00:00:00 gnome-session-b
   2198 ?        00:00:00 at-spi-bus-laun
   2211 ?        00:09:32 gnome-shell
   2212 ?        00:00:00 dbus-daemon
   2278 ?        00:00:00 at-spi2-registr
   2279 ?        00:00:00 colord
   2312 ?        00:00:00 gnome-shell-cal
   2319 ?        00:00:00 evolution-sourc
   2331 ?        00:00:00 gjs
   2339 ?        00:00:04 ibus-daemon
   2340 ?        00:00:00 gsd-a11y-settin
   2341 ?        00:00:00 gsd-color
   2342 ?        00:00:00 gsd-datetime
   2343 ?        00:00:00 gsd-housekeepin
   2347 ?        00:00:00 gsd-keyboard
   2350 ?        00:00:01 gsd-media-keys
   2352 ?        00:00:01 gsd-power
   2355 ?        00:00:00 gsd-print-notif
   2361 ?        00:00:00 gsd-rfkill
   2374 ?        00:00:00 gsd-screensaver
   2379 ?        00:00:02 gsd-sharing
   2383 ?        00:00:00 gsd-smartcard
   2385 ?        00:00:00 gsd-sound
   2388 ?        00:00:00 gsd-wacom
   2444 ?        00:00:00 gsd-disk-utilit
   2452 ?        00:00:00 evolution-alarm
   2509 ?        00:00:00 gvfs-udisks2-vo
   2513 ?        00:00:00 ibus-memconf
   2514 ?        00:00:02 ibus-extension-
   2520 ?        00:00:00 ibus-portal
   2545 ?        00:00:00 goa-daemon
   2573 ?        00:00:00 goa-identity-se
   2575 ?        00:00:00 evolution-calen
   2576 ?        00:00:05 snap-store
   2588 ?        00:00:00 gvfs-goa-volume
   2594 ?        00:00:00 gvfs-afc-volume
   2602 ?        00:00:00 gvfs-mtp-volume
   2617 ?        00:00:00 gvfs-gphoto2-vo
   2640 ?        00:00:00 evolution-addre
   2671 ?        00:00:01 ibus-engine-sim
   2694 ?        00:00:00 dconf-service
   2763 ?        00:00:00 gsd-printer
   2777 ?        00:00:35 tracker-miner-f
   2798 ?        00:00:00 gjs
   2844 ?        00:00:00 xdg-desktop-por
   2851 ?        00:00:07 xdg-desktop-por
   2869 ?        00:00:00 gvfsd-trash
   2878 ?        00:00:00 xdg-desktop-por
   2891 ?        00:00:00 gvfsd-metadata
   2952 ?        00:00:04 fwupd
   2985 ?        00:00:00 cups-browsed
   2988 ?        00:00:01 dockerd
   2992 ?        00:01:26 mongod
   2995 ?        00:00:00 ollama
   3003 ?        00:00:00 kerneloops
   3016 ?        00:00:00 kerneloops
   3076 ?        00:01:42 mysqld
   3458 ?        00:00:00 user-session-he
   3537 ?        00:00:00 snapd-desktop-i
   4171 ?        00:06:15 chrome
   4178 ?        00:00:00 cat
   4179 ?        00:00:00 cat
   4181 ?        00:00:00 chrome_crashpad
   4183 ?        00:00:00 chrome_crashpad
   4191 ?        00:00:00 chrome
   4192 ?        00:00:00 chrome
   4194 ?        00:00:00 chrome
   4222 ?        00:11:14 chrome
   4225 ?        00:03:37 chrome
   4226 ?        00:00:33 Xwayland
   4241 ?        00:00:09 chrome
   4261 ?        00:00:00 gsd-xsettings
   4313 ?        00:00:00 ibus-x11
   4320 ?        00:00:02 mutter-x11-fram
   4364 ?        00:00:02 chrome
   4422 ?        00:00:14 chrome
   4507 ?        00:33:42 chrome
   4602 ?        00:00:58 code
   4604 ?        00:00:00 code
   4605 ?        00:00:00 code
   4620 ?        00:04:15 chrome
   4622 ?        00:00:00 chrome_crashpad
   4626 ?        00:06:28 chrome
   4640 ?        00:00:00 chrome
   4659 ?        00:00:09 code
   4713 ?        00:05:42 code
   4827 ?        00:02:10 code
   4975 ?        00:00:30 code
   5128 ?        00:00:40 code
   6245 ?        00:00:00 update-notifier
   7039 ?        00:00:00 gvfsd-network
   7048 ?        00:00:00 gvfsd-dnssd
   7901 ?        00:01:03 chrome
  13500 ?        00:00:00 gvfsd-recent
  14119 ?        00:00:02 kworker/6:1-events
 118981 ?        00:00:00 kworker/3:0
 136027 ?        00:00:00 kworker/1:0-cgroup_free
 137740 ?        00:00:00 kworker/7:2-cgroup_release
